,precision,recall,f1-score,support
A,1.0,0.9,0.9473684210526315,10.0
B,0.8333333333333334,1.0,0.9090909090909091,10.0
C,0.8181818181818182,0.9,0.8571428571428571,10.0
D,1.0,0.9,0.9473684210526315,10.0
E,1.0,0.9,0.9473684210526315,10.0
F,1.0,0.8,0.8888888888888888,10.0
G,0.8333333333333334,1.0,0.9090909090909091,10.0
H,1.0,0.8,0.8888888888888888,10.0
I,1.0,1.0,1.0,10.0
L,1.0,1.0,1.0,10.0
M,0.8888888888888888,0.8,0.8421052631578947,10.0
N,0.8,0.8,0.8,10.0
O,0.9,0.9,0.9,10.0
P,1.0,1.0,1.0,10.0
Q,0.8333333333333334,1.0,0.9090909090909091,10.0
R,1.0,0.9,0.9473684210526315,10.0
S,0.9090909090909091,1.0,0.9523809523809523,10.0
T,0.9,0.9,0.9,10.0
U,0.8333333333333334,1.0,0.9090909090909091,10.0
V,1.0,0.8,0.8888888888888888,10.0
W,1.0,1.0,1.0,10.0
X,0.9090909090909091,1.0,0.9523809523809523,10.0
Y,1.0,1.0,1.0,10.0
accuracy,0.9260869565217391,0.9260869565217391,0.9260869565217391,0.9260869565217391
macro avg,0.932981993851559,0.9260869565217391,0.925935391839282,230.0
weighted avg,0.9329819938515592,0.9260869565217391,0.925935391839282,230.0
