,precision,recall,f1-score,support
A,1.0,1.0,1.0,331.0
B,1.0,1.0,1.0,432.0
C,1.0,1.0,1.0,310.0
D,1.0,1.0,1.0,245.0
E,1.0,1.0,1.0,498.0
F,1.0,1.0,1.0,247.0
G,1.0,1.0,1.0,348.0
H,1.0,1.0,1.0,436.0
I,1.0,1.0,1.0,288.0
K,1.0,1.0,1.0,331.0
L,1.0,1.0,1.0,209.0
M,0.9949494949494949,1.0,0.9974683544303797,394.0
N,1.0,1.0,1.0,291.0
O,1.0,1.0,1.0,246.0
P,1.0,1.0,1.0,347.0
Q,1.0,1.0,1.0,164.0
R,1.0,1.0,1.0,144.0
S,1.0,0.991869918699187,0.9959183673469387,246.0
T,1.0,0.9153225806451613,0.9557894736842105,248.0
U,1.0,1.0,1.0,266.0
V,1.0,1.0,1.0,346.0
W,1.0,1.0,1.0,206.0
X,0.9270833333333334,1.0,0.9621621621621622,267.0
Y,1.0,1.0,1.0,332.0
accuracy,0.9967930842163971,0.9967930842163971,0.9967930842163971,0.9967930842163971
macro avg,0.996751367845118,0.9961330208060145,0.9963057649009871,7172.0
weighted avg,0.9970079965156303,0.9967930842163971,0.9967835383134269,7172.0
